category,fulltext
accountability,"A/60/846/Add.6 \n \n18 \n \n \ngreatest impact. The Oversight Committee shall act in pursuance of the following \nobjectives: \n \n(a) \nTo ensure systematic implementation of recommendations that have been \napproved by the General Assembly or accepted by the Secretariat;  \n \n(b) \nTo share audit-related information and lessons learned within the \nSecretariat where appropriate; \n \n(c) \nTo ensure that significant risks to the Organization are identified and \nmitigating measures taken. \n8. \nThe Oversight Committee has the following responsibilities: \n \n(a) \nTo ensure that appropriate and timely action is taken by the relevant \nmanagers to rectify areas of concern identified by oversight bodies and to \neffectively manage risks within the Organization; \n \n(b) \nTo alert the Secretary-General on systemic organizational issues that may \narise from audit, investigation or evaluation reports and make recommendations as \nappropriate; \n \n(c) \nTo provide advice and suggestions on the priorities, long-term strategy \nand annual audit workplans of oversight bodies and request that any significant risks \nidentified be included in such workplans; \n \n(d) \nTo prepare the response of the Secretary-General to reports of oversight \nbodies submitted to the General Assembly, taking into account the input provided by \nthe departments or offices concerned; \n \n(e) \nTo render advice on audit-related matters to the Secretary-General and \ndepartment heads as it deems appropriate; \n \n(f) \nTo encourage and facilitate, if necessary, collaboration and cooperation \namong the various oversight bodies.  \n9. \nThe Oversight Committee shall meet at the request of the Chairperson or any \nmember as required, but not less than once every calendar quarter.  \n10. The Oversight Committee shall submit to the Secretary-General an annual \nreport on its work for the previous year during the first quarter of each calendar \nyear. The Committee shall also transmit to the Secretary-General and to the \nChairperson of the Management Performance Board a copy of the minutes of its \nmeetings. \n11. The Oversight Committee shall contribute to the preparation of the annual \nreport of the Secretary-General to the General Assembly on the review of the \nefficiency of the administrative and financial functioning of the United Nations, \nexplaining the measures taken to strengthen accountability in the Secretariat and the \nresults achieved.  \n \n \n"
accountability,"23\nA/60/312\nAnnex III\nAssignment of time frames and status of implementation\nand recommendations of the Board of Auditors for the\nperiod 2002-2003\nUnited Nations\nUNU\nITC\nICTY\nICTR\nNumber Percentage\nNumber Percentage\nNumber\nPercentage\nNumber Percentage\nNumber Percentage\nTotal number of\nrecommendations\n69\n26\n10\n22\n26\nRecommendations reported as\n\xe2\x80\x9ccompleted\xe2\x80\x9d\n24\n35\n9\n35\n4\n40\n17\n77\n9\n35\nRecommendations outstanding\n45\n65\n17\n65\n6\n60\n5\n23\n17\n65\nRecommendations\noutstanding with time frames\n33\n73\n14\n82\n3\n50\n2\n40\n8\n47\nAbbreviations: ICTR, International Criminal Tribunal for the Prosecution of Persons Responsible for Genocide and Other Serious\nViolations of International Humanitarian Law Committed in the Territory of Rwanda and Rwandan Citizens Responsible for\nGenocide and Other Such Violations Committed in the Territory of Neighbouring States between 1 January and\n31 December 1994; ICTY, International Tribunal for the Prosecution of Persons Responsible for Serious Violations of\nInternational Humanitarian Law Committed in the Territory of the Former Yugoslavia since 1991; ITC, International Trade\nCentre UNCTAD/WTO (ITC); UNU, United Nations University.\n"
accountability,"A/72/492 \n \n \n17-16730 \n28/28 \n \nUnderpinned by performance monitoring, quality assurance and proactive support \nguided and aided by information technology platforms that allow for greater \ntransparency in the use and management of resources, management accountability \nwill be overseen by a dedicated performance monitoring, quality assurance and risk \nmanagement function in the new Department of Management Strategy, Policy and \nCompliance.  \n \n \n \nVII. Change management \n \n \n106. I fully appreciate that the transformational agenda outlined above will require \nan exercise in change management perhaps as substantial as any that the \nOrganization has seen to date. To oversee the change, I have appointed the Chef de \nCabinet as the Project Sponsor on Change Management. The project will be led \njointly by the Under-Secretaries-General for Management and Field Support. The \nChef de Cabinet may appoint a project trustee to ensure full coordination in the \nimplementation of the management reform. The project will have a Governance \nBoard comprising an appropriate representation of department heads and business \nowners. The project will be staffed by a dedicated team led by a project manager \nand a group of team members on full-time release who will be selected from across \nthe Organization. External expert assistance on change management and project \nmanagement will be called upon selectively to ensure that the best practices are \nbeing adopted in the process. The team will also work closely and engage regularly \nwith the change teams in other areas of reform. \n \n \n \nVIII. Conclusion \n \n \n107. The unprecedented challenges confronting the United Nations across the \nspectrum of peace and security, humanitarian action and human rights protection \nand sustainable development will not be met unless our Organization finds better \nand stronger means of putting the full force of our capacities at the disposal of the \nMember States, the international community, and the peoples we serve. \nManagement and administrative silos, antiquated and calcified business processes \nand structures, and imbalanced risk management must be addressed if we are to lend \nour full support to Member States and ensure our active engagement in preventing \nand dealing with human suffering. In 2017, I have introduced a series of reform \ninitiatives designed to enable the Secretariat to deliver on the promises of the \nCharter. Once more, I pledge my commitment and determination for the Secretariat \nto do its part in their implementation.  \n108. The General Assembly is requested: \n \n(a) \nTo take note of the report of the Secretary-General and endorse his \nvision for management reform of the Secretariat; \n \n(b) \nTo request the Secretary-General to submit to the General Assembly \nat the second part of the resumed seventy-second session a comprehensive \nreport on the implementation of his management reform proposals; \n \n(c) \nTo support the creation of the Department of Management Strategy, \nPolicy and Compliance and the Department of Operational Support, and to \nrequest the Secretary-General, in the context of the above-mentioned \ncomprehensive report, to provide detailed information on the functions, \nstructure and staffing requirements of the new structure. \n \n"
accountability,"A/RES/60/254 \n4 \n \n(h) \nAlso requests the Secretary-General, in the context of the comprehensive \nreview referred to above, to report on staff perception of the impact of the Ethics \nOffice on improving ethics and integrity in the Organization;  \n \n(i) \nFurther requests the Secretary-General to report on the activities of the \nEthics Office and the implementation of ethics policies, in the context of his annual \nreport, for the consideration and decision of the General Assembly, as appropriate, \nunder the agenda item relating to human resources management;  \n \nManagement practices \n \n17. Takes note of the report of the Secretary-General on the contribution \nmade by the Department of Management to the improvement of management \npractices and the time-bound plan for the reduction of duplication, complexity and \nbureaucracy in the United Nations administrative processes and procedures;7 \n \nReporting requirement \n \n18. Endorses the recommendations of the Advisory Committee on \nAdministrative and Budgetary Questions as contained in paragraph 12 of its report,2 \nand requests the Secretary-General to report thereon to the General Assembly under \nthe relevant agenda items, as well as on an overview of the status of implementation \nof the provisions of the present resolution, as appropriate. \n \n79th plenary meeting \n8 May 2006 \n_______________ \n7 A/60/342. \n"
accountability,
accountability,
accountability,"A/RES/60/248 \n7 \nXVI \nJoint Inspection Unit \n \nApproves the gross budget for the Joint Inspection Unit for the biennium \n2006\xe2\x80\x932007 in the amount of 10,511,100 dollars; \n \nXVII \nInternational Civil Service Commission \n \nApproves the gross budget for the International Civil Service Commission for \nthe biennium 2006\xe2\x80\x932007 in the amount of 16,211,300 dollars; \n \nXVIII \nJointly financed gross budget of the Department of Safety and Security \n \nApproves the gross budget for the Department of Safety and Security for the \nbiennium 2006\xe2\x80\x932007 in the amount of 225,682,400 dollars, broken down as follows: \n \n(a) \nField security operations: 201,423,900 dollars; \n \n(b) \nSecurity and safety services at the United Nations Office at Vienna: \n24,258,500 dollars. \n \n69th plenary meeting \n23 December 2005 \n"
accountability,
accountability,"ST/SGB/2015/4/AMEND.1 \n \n \n18-21498 \n4/4 \n \n \n  \nArticle VI  \n \n  \nAccounting \n \n \n \n \n \nRule 306.1 \n \n \n \nSeparate accounts to be maintained by the Foundation shall include: \n \n \n(a) \nA General Fund account and its Reserve;  \n \n \n(b) \nA Loan Fund account and its Reserve;  \n \n \n(c) \nTrust funds accounts;  \n \n \n(d) \nA programme support costs account;  \n \n \n(e) \nSuch other accounts as may be required by the Secretary-General. \n \n \n \n \nRule 306.2 \n \n \n \nThe Secretary-General shall maintain the accounts of the Foundation and \nother extrabudgetary resources as are necessary to report to the Governing Council. \n \n \n \n \nRule 306.10 \n \n \n \nThe Secretary-General shall prepare and certify the annual financial \nstatements of UN-Habitat, including the Foundation and other extrabudgetary \nresources, in accordance with the Financial Regulations and Rules of the United \nNations. These financial statements shall be submitted to the Board of Auditors \nas specified in rule 106.1 (a) of the Financial Regulations and Rules of the \nUnited Nations. \n \n \n \n  \nAnnex III \n \n  \nFinancial Rules of the Fund of the United Nations \nInternational Drug Control Programme and of the \nFund of the United Nations Crime Prevention and \nCriminal Justice Programme \n \n \n \n  \nArticle VI  \n \n  \nAccounting \n \n \n \n \n \nRule 406.1 \n \n \n \nThe Secretary-General is responsible for maintaining the UNODC Funds \naccounts and for reporting on these to the Board of Auditors, the Commission \non Narcotic Drugs, the Commission on Crime Prevention and Criminal Justice \nand the General Assembly. \n \n \n \n \nRule 406.3 \n \n \n \nThe Secretary-General shall prepare and certify the annual financial \nstatements of UNODC, including the UNODC Funds accounts, in accordance \nwith the Financial Regulations and Rules of the United Nations. These financial \nstatements shall be submitted to the Board of Auditors as specified in rule \n106.1 (a) of the Financial Regulations and Rules of the United Nations. \n5. \nThe present amendment shall enter into force on 1 January 2019. \n \n \n(Signed) Ant\xc3\xb3nio Guterres \nSecretary-General \n"
accountability,"ST/SGB/2018/3 \n \n \n18-08803 \n20/20 \n \n \nOff-budget year. The first year of a biennium, in which the Secretary-General \nsubmits an outline of the proposed programme budget for the following biennium.  \n \nOutputs. Outputs are final products or services delivered by a programme or \nsubprogramme to end users, such as reports, publications, training, servicing of \nmeetings, or advisory, editorial, translation or security services, which an activity is \nexpected to produce in order to achieve its objectives.  \n \nPriority. A priority is a preferential rating for the allocation of limited resources. \nThus, activities with the highest priority are those that would be conducted even if \ntotal resources were significantly curtailed; activities with the lowest priority are \nthose that would be curtailed or terminated if all anticipated resources were not \navailable or if activities with a higher priority had to be commenced or expanded.  \n \nProgramme. A programme consists of the activities undertaken by a department \nor office.  \n \nProgramme manager. A programme manager is the Secretariat official \nresponsible for the formulation and implementation of a programme as defined above, \nnormally the head of an organizational unit. For the purposes of self-evaluation, \nprogramme managers also refer to those who are involved in the implementation of \nsubprogrammes, namely, the head of a division, branch or section.  \n \nProgramme strategy. A programme strategy is a sequence of means of action to \nbe undertaken for the purpose of achieving an objective.  \n \nRelevance. Relevance is the extent to which an activity, expected \naccomplishment or strategy is pertinent or significant for achieving the related \nobjective and the extent to which the objective is significant to the problem addressed. \nRelevance is viewed in the context of the activity\xe2\x80\x99s design as well as in the light of \nthe factual situation at the time of evaluation.  \n \nSubprogramme. A subprogramme consists of activities within a programme \naimed at achieving one or a few closely related objectives as set out in the strategic \nframework. The subprogramme structure shall correspond, to the extent possible, to \nan organizational unit, normally at the division level.  \n \n18-08803 (E)    050618 \n*1808803* \n"
accountability,"ST/SGB/2015/4 \n \n \n16-00928 \n30/30 \n \n \n \nRule 406.2 \n \n \nConsistent with the structure set out in rule 404.1, the UNODC Funds accounts \nshall distinguish between the Fund of the United Nations International Drug Control \nProgramme and the Fund of the Crime Prevention and Criminal Justice Programme. \n \n \n \nRule 406.3 \n \n \nThe Executive Director shall prepare and certify the annual financial statements \nof UNODC, including the UNODC Funds accounts, in accordance with the Financial \nRegulations and Rules of the United Nations. The Executive Director shall submit \nthese financial statements to the Board of Auditors as specified in rule 106.1 (a) of the \nFinancial Regulations and Rules of the United Nations. \n \n \n \n16-00928 (E)    020216 \n*1600928* \n \n"
accountability,"ST/IC/2016/25 \n \n \n16-15827 \n32/32 \n \n10. Under the memorandum of understanding with a troop-contributing country, \nthe troop-contributing country has the primary responsibility to investigate acts of \nmisconduct by members of national contingents, and the authority of OIOS to \ninvestigate is limited accordingly. Members of national contingents are subject to \nthe troop-contributing country\xe2\x80\x99s exclusive jurisdiction in respect of any disciplinary \naction and crimes or offences committed by them while they are assigned to a \nUnited Nations peacekeeping operation.  \n \n"
accountability," \n13-40857 \n35 \n \n \nST/SGB/2013/4\n \n(vi) Expenditure in excess of appropriations as amended by duly authorized \ntransfers within the budget; \n \n(vii) Expenditure not in conformity with the authority which governs it; \n \n(d) \nThe accuracy or otherwise of inventories and property, plant and \nequipment records as determined by stock-taking and examination of the records; \n \n(e) \nIf appropriate, transactions accounted for in a previous financial period \nconcerning which further information has been obtained or transactions in a later \nfinancial period concerning which it seems desirable that the General Assembly \nshould have early knowledge. \n7. \nThe Board of Auditors may make such observations with respect to its findings \nresulting from the audit and such comments on the Secretary-General\xe2\x80\x99s financial \nreport as it deems appropriate to the General Assembly or to the Secretary-General. \n8. \nWhenever the scope of audit of the Board of Auditors is restricted, or \nwhenever the Board is unable to obtain sufficient evidence, it shall refer to the \nmatter in its opinion and report, making clear in its report the reasons for its \ncomments and the effect on the financial position and the financial transactions as \nrecorded. \n9. \nIn no case shall the Board of Auditors include criticism in its report without \nfirst affording the Secretary-General an adequate opportunity of explanation on the \nmatter under observation. \n10. The Board is not required to mention any matter referred to in the foregoing \nthat, in its opinion, is insignificant in all respects. \n \n \n13-40857 (E)    140813 \n*1340857* \n"
